Date,Expiry,Series Code,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of Contracts,Turnover,Open Interest,Change in OI,Underlying Value
30/01/2020,30-Jan-2020,RELI01C1500,1500.00,0.00,0.00,0.00,1443.75,1443.75,1.50,0,0.00,0,-,1442.50
29/01/2020,30-Jan-2020,RELI01C1500,1500.00,0.00,0.00,0.00,1.15,1.15,3.05,0,0.00,500,-,1479.70
28/01/2020,30-Jan-2020,RELI01C1500,1500.00,0.00,0.00,0.00,1.80,1.80,16.15,0,0.00,500,-,1471.35
27/01/2020,30-Jan-2020,RELI01C1500,1500.00,0.00,0.00,0.00,15.95,15.95,31.65,0,0.00,500,-,1506.60
24/01/2020,30-Jan-2020,RELI01C1500,1500.00,0.00,0.00,0.00,31.10,31.10,37.10,0,0.00,500,-,1521.70
23/01/2020,30-Jan-2020,RELI01C1500,1500.00,0.00,0.00,0.00,36.75,36.75,45.90,0,0.00,500,-,1527.00
22/01/2020,30-Jan-2020,RELI01C1500,1500.00,0.00,0.00,0.00,43.30,43.30,46.05,0,0.00,500,-,1533.10
21/01/2020,30-Jan-2020,RELI01C1500,1500.00,43.00,43.00,43.00,43.00,43.00,46.65,500,7.72,500,-,1533.95
